MQ2,MQ3,MQ5,MQ6,MQ7,MQ8,MQ135,label,timestamp
131.2,455.28,116.17,110.36,17.02,102.25,374.27,Perfume,2024-01-01 00:30:36
277.11,60.68,173.61,203.65,23.42,99.52,72.91,No Gas,2024-01-01 00:30:38
668.43,363.32,196.97,266.91,136.08,470.88,484.86,Combined,2024-01-01 00:30:40
801.09,132.17,307.83,242.8,44.7,700.91,144.51,Smoke,2024-01-01 00:30:42
879.77,430.86,227.14,511.38,32.94,877.93,245.04,Combined,2024-01-01 00:30:44
160.98,304.72,306.47,265.61,18.06,218.49,242.79,Perfume,2024-01-01 00:30:46
420.06,215.31,222.08,134.64,60.41,560.68,132.66,Smoke,2024-01-01 00:30:48
239.88,53.42,160.1,152.16,17.17,308.25,56.04,No Gas,2024-01-01 00:30:50
166.67,134.49,72.55,98.2,20.61,164.76,68.21,No Gas,2024-01-01 00:30:52
581.69,74.9,207.22,341.01,31.93,659.09,113.37,Smoke,2024-01-01 00:30:54
389.89,242.07,253.12,73.93,16.82,268.49,257.1,Perfume,2024-01-01 00:30:56
241.21,90.57,174.54,219.23,16.59,249.5,27.2,No Gas,2024-01-01 00:30:58
145.57,110.65,192.75,141.15,30.85,128.61,34.61,No Gas,2024-01-01 00:31:00
1271.26,417.21,368.41,370.1,26.39,254.56,139.44,Combined,2024-01-01 00:31:02
710.84,173.59,343.17,326.42,75.18,379.72,131.66,Combined,2024-01-01 00:31:04
741.83,122.59,345.35,339.03,31.83,468.84,172.83,Smoke,2024-01-01 00:31:06
107.98,54.67,105.28,175.19,16.9,239.42,88.4,No Gas,2024-01-01 00:31:08
140.08,63.18,105.16,64.73,11.01,321.47,34.55,No Gas,2024-01-01 00:31:10
125.93,51.78,194.58,206.85,10.78,268.43,35.74,No Gas,2024-01-01 00:31:12
1206.44,139.71,421.98,428.26,36.5,691.29,441.05,Combined,2024-01-01 00:31:14
282.98,69.42,231.8,168.04,23.07,251.28,89.61,No Gas,2024-01-01 00:31:16
782.08,115.53,172.08,189.46,75.24,257.49,157.12,Smoke,2024-01-01 00:31:18
150.73,162.84,150.35,93.66,22.49,343.48,58.31,No Gas,2024-01-01 00:31:20
701.34,244.14,227.02,127.32,54.11,614.28,189.97,Smoke,2024-01-01 00:31:22
170.78,231.73,226.19,118.0,20.48,245.36,175.47,Perfume,2024-01-01 00:31:24
787.27,206.17,298.06,179.48,38.73,470.59,269.19,Combined,2024-01-01 00:31:26
205.22,93.86,217.73,113.68,7.63,287.64,99.08,No Gas,2024-01-01 00:31:28
136.5,120.34,252.28,156.98,6.39,291.65,87.47,No Gas,2024-01-01 00:31:30
145.47,138.51,145.43,109.7,21.74,210.86,56.91,No Gas,2024-01-01 00:31:32
1052.74,591.01,215.54,239.5,43.58,915.31,120.81,Combined,2024-01-01 00:31:34
915.19,349.66,387.5,494.74,64.65,446.33,169.95,Combined,2024-01-01 00:31:36
882.46,71.32,152.86,277.02,111.96,296.99,142.85,Smoke,2024-01-01 00:31:38
183.38,421.12,314.15,132.99,21.75,400.46,168.97,Perfume,2024-01-01 00:31:40
371.33,428.8,206.73,139.47,20.87,205.78,254.55,Perfume,2024-01-01 00:31:42
268.66,93.47,158.12,89.09,19.8,160.2,44.76,No Gas,2024-01-01 00:31:44
1231.49,285.23,175.45,521.09,24.24,489.3,325.03,Combined,2024-01-01 00:31:46
1304.24,88.77,352.98,232.94,84.42,597.56,185.88,Smoke,2024-01-01 00:31:48
154.33,98.39,81.04,141.41,7.39,312.07,45.95,No Gas,2024-01-01 00:31:50
995.35,209.84,434.87,230.69,22.44,942.01,186.7,Smoke,2024-01-01 00:31:52
159.94,108.42,235.24,134.12,12.86,236.49,53.76,No Gas,2024-01-01 00:31:54
227.51,105.3,196.99,102.83,18.19,189.15,79.71,No Gas,2024-01-01 00:31:56
316.84,449.88,80.57,170.44,16.21,144.82,378.12,Perfume,2024-01-01 00:31:58
136.86,176.61,131.85,112.23,8.91,218.61,87.65,No Gas,2024-01-01 00:32:00
350.38,516.34,176.66,109.08,27.26,327.49,387.46,Perfume,2024-01-01 00:32:02
134.67,155.9,226.86,211.42,10.26,229.67,91.83,No Gas,2024-01-01 00:32:04
198.27,80.68,157.4,220.74,14.29,266.12,98.03,No Gas,2024-01-01 00:32:06
256.56,146.34,114.05,182.83,6.18,266.23,100.84,No Gas,2024-01-01 00:32:08
190.64,207.39,154.03,191.78,14.78,330.21,97.02,No Gas,2024-01-01 00:32:10
204.17,238.11,112.47,158.37,9.76,309.14,430.83,Perfume,2024-01-01 00:32:12
174.1,163.78,107.97,102.65,8.01,406.09,62.95,No Gas,2024-01-01 00:32:14
827.51,107.93,155.65,138.83,34.72,279.91,107.62,Smoke,2024-01-01 00:32:16
556.58,237.12,334.74,86.84,104.36,474.78,192.14,Smoke,2024-01-01 00:32:18
312.82,484.41,127.59,128.85,24.39,158.01,189.72,Perfume,2024-01-01 00:32:20
1075.29,175.53,280.93,263.79,30.5,734.36,139.56,Combined,2024-01-01 00:32:22
236.39,535.21,281.72,128.12,15.91,209.66,270.71,Perfume,2024-01-01 00:32:24
234.67,167.39,125.93,139.82,16.79,361.84,101.31,No Gas,2024-01-01 00:32:26
279.61,134.22,89.24,147.96,16.93,217.37,37.76,No Gas,2024-01-01 00:32:28
139.27,136.86,122.29,200.51,12.15,306.57,71.18,No Gas,2024-01-01 00:32:30
702.16,167.67,287.23,153.66,62.73,280.45,185.67,Smoke,2024-01-01 00:32:32
215.31,149.83,209.96,193.71,16.92,217.42,60.37,No Gas,2024-01-01 00:32:34
805.96,48.58,183.59,161.86,22.25,391.69,294.81,Smoke,2024-01-01 00:32:36
926.35,61.46,168.47,196.35,86.27,464.89,216.96,Smoke,2024-01-01 00:32:38
85.9,87.44,102.68,177.7,14.83,375.82,87.8,No Gas,2024-01-01 00:32:40
446.55,559.45,187.39,83.94,19.78,387.91,215.41,Perfume,2024-01-01 00:32:42
195.05,77.37,103.31,97.1,19.35,223.12,95.22,No Gas,2024-01-01 00:32:44
275.81,116.17,173.08,121.91,11.09,463.36,58.68,No Gas,2024-01-01 00:32:46
268.87,308.06,90.56,88.18,7.69,140.7,142.46,Perfume,2024-01-01 00:32:48
645.62,155.68,216.09,140.02,19.84,744.11,145.46,Smoke,2024-01-01 00:32:50
184.53,434.58,235.81,102.27,9.62,95.77,443.77,Perfume,2024-01-01 00:32:52
974.25,132.46,599.65,135.27,40.37,875.72,172.98,Smoke,2024-01-01 00:32:54
161.02,49.1,190.9,154.53,24.15,270.41,84.13,No Gas,2024-01-01 00:32:56
859.17,510.41,349.92,178.83,44.81,407.62,255.43,Combined,2024-01-01 00:32:58
280.55,730.35,110.53,181.09,17.66,160.78,295.98,Perfume,2024-01-01 00:33:00
362.55,323.57,216.28,184.25,8.83,300.11,151.45,Perfume,2024-01-01 00:33:02
238.28,111.95,259.84,99.02,18.65,351.17,67.46,No Gas,2024-01-01 00:33:04
377.35,144.17,211.88,204.29,53.96,309.34,124.26,Smoke,2024-01-01 00:33:06
108.45,76.99,171.59,159.4,5.34,118.05,75.97,No Gas,2024-01-01 00:33:08
154.45,151.79,177.37,107.02,18.58,192.54,64.02,No Gas,2024-01-01 00:33:10
798.51,420.63,279.62,309.4,36.89,1014.49,344.93,Combined,2024-01-01 00:33:12
230.43,77.8,277.49,111.61,19.12,133.93,56.78,No Gas,2024-01-01 00:33:14
595.28,127.23,302.83,314.64,61.08,852.46,222.01,Combined,2024-01-01 00:33:16
301.18,80.9,145.77,334.05,49.37,718.21,154.71,Smoke,2024-01-01 00:33:18
192.09,59.64,255.15,132.87,5.77,374.3,90.06,No Gas,2024-01-01 00:33:20
643.24,215.65,327.38,111.29,43.33,547.95,177.03,Smoke,2024-01-01 00:33:22
510.73,117.07,322.23,192.05,55.29,396.49,193.03,Combined,2024-01-01 00:33:24
313.9,629.27,190.19,103.55,9.25,210.94,223.73,Perfume,2024-01-01 00:33:26
578.46,387.17,572.85,181.48,52.46,669.58,117.06,Combined,2024-01-01 00:33:28
328.17,277.59,250.36,125.29,19.88,276.24,99.62,Perfume,2024-01-01 00:33:30
308.88,239.38,232.62,147.25,6.98,84.49,265.17,Perfume,2024-01-01 00:33:32
374.27,487.88,78.75,201.31,52.78,441.4,202.4,Combined,2024-01-01 00:33:34
144.83,108.93,191.42,202.19,16.21,335.74,69.7,No Gas,2024-01-01 00:33:36
622.59,91.73,417.74,406.81,42.82,402.19,95.0,Smoke,2024-01-01 00:33:38
267.75,167.18,175.81,95.36,14.23,132.96,68.73,No Gas,2024-01-01 00:33:40
479.01,365.86,390.15,131.75,46.15,673.81,101.9,Combined,2024-01-01 00:33:42
693.93,339.39,350.62,290.03,63.77,487.65,313.62,Combined,2024-01-01 00:33:44
105.13,157.21,148.05,174.18,4.9,209.5,72.01,No Gas,2024-01-01 00:33:46
328.79,341.37,281.78,225.74,14.58,181.33,305.23,Perfume,2024-01-01 00:33:48
1058.67,719.8,430.66,398.37,47.1,438.82,297.12,Combined,2024-01-01 00:33:50
174.44,125.73,259.46,179.84,25.53,246.07,120.52,No Gas,2024-01-01 00:33:52
257.8,105.32,323.23,120.77,46.11,593.82,153.54,Smoke,2024-01-01 00:33:54
727.39,397.46,449.95,115.57,35.03,739.05,231.69,Combined,2024-01-01 00:33:56
274.99,192.0,145.79,121.32,10.04,158.05,89.72,No Gas,2024-01-01 00:33:58
395.54,436.59,190.75,70.21,22.21,171.6,277.48,Perfume,2024-01-01 00:34:00
145.53,100.97,141.26,132.71,17.32,242.18,126.71,No Gas,2024-01-01 00:34:02
459.47,125.49,170.33,186.28,93.73,304.74,169.96,Combined,2024-01-01 00:34:04
927.18,351.46,322.18,453.8,49.97,305.28,287.48,Combined,2024-01-01 00:34:06
608.7,236.49,286.35,309.4,19.98,1068.73,133.01,Combined,2024-01-01 00:34:08
546.68,211.55,285.2,158.33,52.56,271.6,259.79,Smoke,2024-01-01 00:34:10
491.44,165.49,475.37,237.17,61.35,578.46,129.52,Combined,2024-01-01 00:34:12
1023.42,114.0,398.15,153.34,126.15,508.57,405.45,Combined,2024-01-01 00:34:14
205.2,216.04,231.73,157.47,20.21,271.53,47.82,No Gas,2024-01-01 00:34:16
553.94,312.75,242.19,203.8,67.27,1404.98,193.39,Combined,2024-01-01 00:34:18
316.88,140.47,91.88,169.02,17.1,235.36,40.95,No Gas,2024-01-01 00:34:20
471.47,222.87,229.5,324.76,59.96,505.25,152.59,Smoke,2024-01-01 00:34:22
149.66,96.52,163.55,116.63,9.55,142.09,62.01,No Gas,2024-01-01 00:34:24
116.42,69.14,81.94,177.42,22.14,104.57,79.23,No Gas,2024-01-01 00:34:26
110.57,255.1,259.34,244.93,15.6,241.36,62.61,No Gas,2024-01-01 00:34:28
326.53,447.51,265.78,84.74,11.28,108.46,384.96,Perfume,2024-01-01 00:34:30
121.86,73.69,123.64,179.4,11.38,301.58,113.1,No Gas,2024-01-01 00:34:32
430.2,572.4,142.84,186.08,19.08,347.18,194.86,Perfume,2024-01-01 00:34:34
296.04,160.54,89.54,167.78,11.56,137.46,65.97,No Gas,2024-01-01 00:34:36
190.06,53.42,153.49,121.77,9.09,302.8,50.74,No Gas,2024-01-01 00:34:38
666.18,140.23,108.88,302.65,85.72,367.68,255.97,Smoke,2024-01-01 00:34:40
234.02,495.61,262.6,98.13,12.73,410.57,315.53,Perfume,2024-01-01 00:34:42
248.27,162.5,97.72,177.83,17.92,121.12,43.93,No Gas,2024-01-01 00:34:44
243.82,155.11,154.73,64.34,17.08,467.29,237.7,Perfume,2024-01-01 00:34:46
846.3,427.99,342.58,109.78,60.2,900.78,184.58,Combined,2024-01-01 00:34:48
132.76,120.26,169.5,96.26,14.92,332.27,395.07,Perfume,2024-01-01 00:34:50
148.8,105.36,217.64,219.59,23.57,378.17,93.39,No Gas,2024-01-01 00:34:52
339.18,151.31,124.3,221.95,21.18,253.87,64.85,No Gas,2024-01-01 00:34:54
917.51,167.32,469.92,321.56,68.69,494.1,421.68,Combined,2024-01-01 00:34:56
97.58,118.52,91.38,275.97,13.76,222.96,42.53,No Gas,2024-01-01 00:34:58
901.45,449.53,175.65,519.06,49.57,421.71,109.41,Combined,2024-01-01 00:35:00
282.72,183.91,198.83,339.3,44.9,208.11,73.39,Smoke,2024-01-01 00:35:02
766.28,315.83,693.44,340.69,46.96,636.63,345.23,Combined,2024-01-01 00:35:04
306.24,169.29,238.64,192.16,21.56,234.06,328.85,Perfume,2024-01-01 00:35:06
909.9,125.35,405.48,217.22,86.07,219.66,179.5,Combined,2024-01-01 00:35:08
193.15,70.77,259.18,163.73,19.58,159.04,102.91,No Gas,2024-01-01 00:35:10
264.33,294.85,93.49,127.97,8.78,111.65,377.34,Perfume,2024-01-01 00:35:12
1266.55,151.23,287.52,148.23,136.04,948.52,151.56,Smoke,2024-01-01 00:35:14
465.29,183.71,199.0,307.74,56.99,398.81,164.24,Smoke,2024-01-01 00:35:16
124.47,426.78,223.97,133.47,11.63,413.51,95.61,Perfume,2024-01-01 00:35:18
589.56,368.99,292.35,290.1,74.24,660.55,373.8,Combined,2024-01-01 00:35:20
536.46,450.31,322.13,306.1,43.55,605.71,204.78,Combined,2024-01-01 00:35:22
302.93,566.89,131.75,219.99,9.21,268.9,298.57,Perfume,2024-01-01 00:35:24
773.08,274.59,316.35,363.26,83.34,244.63,251.7,Smoke,2024-01-01 00:35:26
780.91,195.28,271.9,175.83,90.3,450.95,55.72,Smoke,2024-01-01 00:35:28
177.28,689.17,287.93,275.95,15.32,203.38,460.54,Perfume,2024-01-01 00:35:30
352.96,160.3,216.12,253.28,6.49,398.65,119.05,No Gas,2024-01-01 00:35:32
232.5,178.24,113.81,126.55,20.46,271.38,109.23,No Gas,2024-01-01 00:35:34
215.54,166.5,164.48,137.53,5.31,112.33,65.25,No Gas,2024-01-01 00:35:36
215.2,178.26,154.76,164.18,7.68,243.86,120.94,No Gas,2024-01-01 00:35:38
272.55,203.63,239.84,76.13,7.38,133.02,34.69,No Gas,2024-01-01 00:35:40
133.87,109.4,82.46,78.53,16.86,468.95,122.7,No Gas,2024-01-01 00:35:42
165.11,110.12,171.81,109.68,20.62,323.34,68.12,No Gas,2024-01-01 00:35:44
298.34,238.72,134.93,156.93,19.59,110.57,78.73,No Gas,2024-01-01 00:35:46
1373.17,337.79,115.83,85.2,62.87,829.4,83.99,Combined,2024-01-01 00:35:48
409.35,243.11,113.77,155.33,46.46,920.91,94.78,Smoke,2024-01-01 00:35:50
273.49,71.67,121.81,121.95,9.75,177.48,119.27,No Gas,2024-01-01 00:35:52
306.31,337.59,283.73,125.33,9.2,139.6,113.7,Perfume,2024-01-01 00:35:54
255.94,63.04,181.09,133.34,6.88,339.5,28.03,No Gas,2024-01-01 00:35:56
572.8,132.13,240.66,283.08,22.86,209.67,417.98,Combined,2024-01-01 00:35:58
224.27,412.93,110.83,203.46,15.62,391.15,256.64,Perfume,2024-01-01 00:36:00
122.08,88.22,128.38,202.91,5.25,155.98,34.98,No Gas,2024-01-01 00:36:02
743.37,91.64,375.13,203.92,51.39,321.72,157.17,Smoke,2024-01-01 00:36:04
390.93,197.11,415.1,291.2,72.8,425.47,161.8,Combined,2024-01-01 00:36:06
1040.11,422.66,425.18,285.95,42.17,574.18,139.35,Combined,2024-01-01 00:36:08
327.37,101.09,160.08,98.74,52.02,482.09,306.76,Smoke,2024-01-01 00:36:10
262.0,398.14,128.21,119.07,8.37,251.59,130.59,Perfume,2024-01-01 00:36:12
298.44,92.34,101.37,112.4,18.3,294.18,93.31,No Gas,2024-01-01 00:36:14
417.91,295.0,336.58,408.77,28.55,467.42,339.05,Combined,2024-01-01 00:36:16
310.49,125.42,240.64,124.12,7.51,303.22,43.34,No Gas,2024-01-01 00:36:18
1194.19,228.49,361.53,189.53,55.27,614.54,337.21,Combined,2024-01-01 00:36:20
222.02,479.07,112.72,127.82,14.29,217.9,343.44,Perfume,2024-01-01 00:36:22
250.29,189.32,229.95,107.31,12.46,214.89,200.8,Perfume,2024-01-01 00:36:24
310.1,92.5,227.37,255.18,96.06,298.4,370.78,Smoke,2024-01-01 00:36:26
256.23,210.89,239.03,157.77,18.01,255.13,61.38,No Gas,2024-01-01 00:36:28
162.23,93.31,192.01,236.38,13.46,203.65,130.97,No Gas,2024-01-01 00:36:30
224.15,168.31,66.4,225.8,6.13,122.38,73.8,No Gas,2024-01-01 00:36:32
243.15,139.35,184.25,184.21,11.67,191.36,76.8,No Gas,2024-01-01 00:36:34
119.35,210.92,227.22,207.73,9.42,194.51,454.02,Perfume,2024-01-01 00:36:36
262.38,99.67,132.46,203.68,8.36,224.76,61.8,No Gas,2024-01-01 00:36:38
137.44,158.01,209.44,213.9,20.11,134.64,56.63,No Gas,2024-01-01 00:36:40
894.51,319.37,544.64,464.97,25.75,747.23,301.96,Combined,2024-01-01 00:36:42
1335.2,124.36,438.43,350.19,33.77,310.56,477.05,Combined,2024-01-01 00:36:44
767.85,79.71,135.25,296.77,59.94,407.91,164.58,Combined,2024-01-01 00:36:46
810.83,84.88,427.48,371.19,76.67,656.25,331.83,Combined,2024-01-01 00:36:48
228.19,68.97,127.54,132.27,17.47,235.33,38.32,No Gas,2024-01-01 00:36:50
196.34,197.01,176.95,103.75,14.55,190.45,83.48,No Gas,2024-01-01 00:36:52
157.27,399.48,379.18,145.27,11.04,201.89,335.78,Perfume,2024-01-01 00:36:54
279.48,579.43,191.72,104.01,15.6,248.61,127.74,Perfume,2024-01-01 00:36:56
220.67,113.35,110.97,187.8,9.16,233.12,32.57,No Gas,2024-01-01 00:36:58
802.87,208.21,177.15,125.04,16.3,277.18,339.73,Combined,2024-01-01 00:37:00
271.72,250.59,95.98,196.16,11.04,148.03,58.68,No Gas,2024-01-01 00:37:02
157.1,58.26,213.96,137.88,9.92,159.08,86.92,No Gas,2024-01-01 00:37:04
1105.19,101.07,247.72,202.05,90.17,378.36,227.32,Smoke,2024-01-01 00:37:06
493.02,106.01,539.47,356.67,50.29,276.64,127.4,Smoke,2024-01-01 00:37:08
484.39,185.8,322.76,214.02,45.43,518.25,105.56,Smoke,2024-01-01 00:37:10
270.68,172.13,83.71,190.79,18.95,257.21,56.99,No Gas,2024-01-01 00:37:12
648.34,376.21,311.59,384.42,72.77,435.77,293.13,Combined,2024-01-01 00:37:14
250.01,176.57,102.32,114.22,15.35,338.67,80.29,No Gas,2024-01-01 00:37:16
151.54,160.42,116.19,76.66,6.65,296.97,107.27,No Gas,2024-01-01 00:37:18
498.15,491.39,421.59,506.53,27.32,718.33,366.85,Combined,2024-01-01 00:37:20
466.77,286.02,456.79,398.0,47.58,1026.21,185.28,Combined,2024-01-01 00:37:22
944.64,340.05,214.97,187.9,61.17,939.68,230.26,Combined,2024-01-01 00:37:24
1059.47,263.48,401.07,317.32,37.85,895.67,251.52,Combined,2024-01-01 00:37:26
248.11,291.76,140.04,148.36,20.68,156.98,295.88,Perfume,2024-01-01 00:37:28
362.33,134.83,174.74,400.69,44.4,442.24,275.28,Smoke,2024-01-01 00:37:30
258.17,105.0,215.63,96.62,21.65,261.77,98.6,No Gas,2024-01-01 00:37:32
1184.9,217.91,363.48,144.84,77.63,1009.14,323.2,Smoke,2024-01-01 00:37:34
191.46,125.83,128.21,92.09,17.53,117.54,96.43,No Gas,2024-01-01 00:37:36
313.21,209.29,121.86,231.04,23.56,231.5,86.59,No Gas,2024-01-01 00:37:38
175.55,421.89,106.42,180.5,16.5,170.69,231.18,Perfume,2024-01-01 00:37:40
1313.1,53.29,318.69,114.19,18.37,558.4,203.64,Smoke,2024-01-01 00:37:42
237.68,59.75,84.23,147.08,13.83,178.58,40.79,No Gas,2024-01-01 00:37:44
186.51,253.12,210.3,78.06,9.31,256.28,95.01,No Gas,2024-01-01 00:37:46
277.31,189.84,237.5,187.92,11.76,371.62,209.03,Perfume,2024-01-01 00:37:48
130.18,176.46,98.61,91.25,17.13,248.78,120.82,No Gas,2024-01-01 00:37:50
612.3,278.77,364.54,412.78,14.93,546.39,252.0,Combined,2024-01-01 00:37:52
675.22,98.71,105.99,156.53,55.42,985.77,303.51,Smoke,2024-01-01 00:37:54
950.56,70.92,269.63,156.12,87.7,181.4,177.52,Smoke,2024-01-01 00:37:56
495.5,234.01,334.53,147.94,67.68,209.77,116.77,Smoke,2024-01-01 00:37:58
856.16,485.05,212.64,258.52,48.99,90.51,301.38,Combined,2024-01-01 00:38:00
210.49,178.82,186.36,128.96,14.08,388.61,58.33,No Gas,2024-01-01 00:38:02
206.63,241.1,135.92,200.27,9.45,433.38,347.59,Perfume,2024-01-01 00:38:04
572.09,315.42,172.45,114.75,53.34,355.03,117.5,Smoke,2024-01-01 00:38:06
103.65,106.23,206.45,190.28,15.89,383.61,43.19,No Gas,2024-01-01 00:38:08
818.84,196.19,567.88,395.74,53.29,505.47,164.86,Combined,2024-01-01 00:38:10
348.83,344.11,108.16,84.7,9.33,209.49,137.6,Perfume,2024-01-01 00:38:12
391.91,239.21,328.74,190.13,18.85,236.66,187.82,Perfume,2024-01-01 00:38:14
522.92,466.91,591.95,162.75,25.74,700.72,492.76,Combined,2024-01-01 00:38:16
834.7,171.39,342.12,449.57,46.96,729.67,326.91,Combined,2024-01-01 00:38:18
331.17,314.39,176.76,207.09,13.35,199.41,332.17,Perfume,2024-01-01 00:38:20
615.03,327.21,398.18,133.71,70.21,936.68,185.01,Combined,2024-01-01 00:38:22
213.5,164.24,107.31,193.36,15.52,129.16,255.57,Perfume,2024-01-01 00:38:24
317.19,489.6,89.24,268.0,18.66,137.56,349.69,Perfume,2024-01-01 00:38:26
366.25,735.99,184.94,305.79,19.72,456.33,128.28,Perfume,2024-01-01 00:38:28
275.66,491.66,182.8,154.63,22.21,370.05,293.99,Perfume,2024-01-01 00:38:30
194.06,84.68,164.23,124.76,11.08,165.2,92.8,No Gas,2024-01-01 00:38:32
954.21,382.05,271.49,366.63,16.18,278.84,132.99,Combined,2024-01-01 00:38:34
449.43,445.05,219.69,200.6,40.13,260.42,223.7,Combined,2024-01-01 00:38:36
286.03,166.97,108.62,81.67,16.99,376.44,78.34,No Gas,2024-01-01 00:38:38
535.47,442.7,261.2,517.39,63.48,442.96,187.51,Combined,2024-01-01 00:38:40
196.37,217.96,172.54,176.77,17.35,235.9,126.24,No Gas,2024-01-01 00:38:42
223.95,58.76,122.64,130.13,10.45,180.34,63.25,No Gas,2024-01-01 00:38:44
208.31,247.26,140.45,246.88,6.88,345.03,492.14,Perfume,2024-01-01 00:38:46
184.06,200.38,82.08,116.63,9.0,147.79,104.12,No Gas,2024-01-01 00:38:48
430.69,260.75,301.47,203.99,98.97,1258.94,77.56,Combined,2024-01-01 00:38:50
470.79,375.46,442.47,598.11,45.98,797.65,427.05,Combined,2024-01-01 00:38:52
539.99,74.64,279.46,87.2,36.23,466.44,37.45,Smoke,2024-01-01 00:38:54
188.92,140.22,108.03,210.39,6.92,261.15,49.58,No Gas,2024-01-01 00:38:56
306.67,126.4,190.31,145.88,13.87,317.91,88.94,No Gas,2024-01-01 00:38:58
108.35,605.84,228.38,198.68,10.08,124.55,184.4,Perfume,2024-01-01 00:39:00
668.01,312.91,598.53,453.64,87.6,669.22,148.55,Combined,2024-01-01 00:39:02
224.41,289.96,79.03,164.71,16.94,175.3,420.73,Perfume,2024-01-01 00:39:04
295.38,257.72,176.65,98.42,23.95,307.55,126.79,No Gas,2024-01-01 00:39:06
228.96,160.1,234.88,239.85,22.48,590.45,272.97,Perfume,2024-01-01 00:39:08
551.07,246.09,364.72,204.15,78.26,358.74,223.17,Smoke,2024-01-01 00:39:10
299.63,582.34,182.65,235.71,6.75,150.83,152.52,Perfume,2024-01-01 00:39:12
172.93,165.52,242.11,146.22,5.58,98.6,35.6,No Gas,2024-01-01 00:39:14
418.25,300.88,120.22,124.67,8.68,95.85,230.36,Perfume,2024-01-01 00:39:16
684.09,177.15,577.4,124.36,65.4,311.25,189.0,Smoke,2024-01-01 00:39:18
693.32,143.12,493.47,234.82,61.13,821.97,193.97,Combined,2024-01-01 00:39:20
179.48,135.49,165.96,171.92,7.89,178.54,42.14,No Gas,2024-01-01 00:39:22
267.79,665.5,245.53,101.43,14.59,215.19,145.79,Perfume,2024-01-01 00:39:24
760.46,135.31,564.29,257.8,48.91,269.67,346.62,Combined,2024-01-01 00:39:26
205.54,139.18,153.33,227.46,10.18,364.32,111.12,No Gas,2024-01-01 00:39:28
1189.08,139.48,177.64,228.64,23.91,609.11,310.6,Combined,2024-01-01 00:39:30
215.22,406.41,183.91,168.61,17.14,296.64,345.77,Perfume,2024-01-01 00:39:32
229.04,163.94,207.9,81.29,24.34,328.3,50.23,No Gas,2024-01-01 00:39:34
219.65,94.58,231.06,96.63,20.46,265.63,83.53,No Gas,2024-01-01 00:39:36
140.67,191.0,112.01,147.54,24.77,356.3,98.25,Perfume,2024-01-01 00:39:38
255.63,68.28,149.89,312.39,10.11,417.22,47.96,No Gas,2024-01-01 00:39:40
532.37,128.04,136.32,208.05,89.43,563.36,315.19,Smoke,2024-01-01 00:39:42
122.56,77.07,129.69,97.01,23.63,148.59,53.05,No Gas,2024-01-01 00:39:44
379.36,395.54,250.66,177.37,10.04,112.98,268.11,Perfume,2024-01-01 00:39:46
163.82,98.63,270.88,204.07,6.7,304.33,97.42,No Gas,2024-01-01 00:39:48
398.45,172.49,210.69,217.83,73.72,675.25,308.1,Combined,2024-01-01 00:39:50
1024.0,217.66,427.22,280.92,66.15,650.61,143.6,Combined,2024-01-01 00:39:52
1067.84,551.12,488.26,274.41,28.13,815.02,103.81,Combined,2024-01-01 00:39:54
232.79,226.37,112.33,128.84,19.5,423.01,208.02,Perfume,2024-01-01 00:39:56
183.98,190.18,96.24,138.78,12.86,243.63,109.74,No Gas,2024-01-01 00:39:58
371.01,274.87,123.7,198.7,4.74,181.75,149.0,Perfume,2024-01-01 00:40:00
103.91,205.97,109.32,78.34,23.19,230.7,109.06,No Gas,2024-01-01 00:40:02
293.04,131.08,206.5,171.61,5.65,128.31,133.94,No Gas,2024-01-01 00:40:04
161.13,186.01,111.25,140.62,23.03,97.96,65.32,No Gas,2024-01-01 00:40:06
490.69,191.36,178.16,220.81,40.75,480.5,192.12,Smoke,2024-01-01 00:40:08
233.26,536.06,259.14,136.74,24.79,141.07,315.06,Perfume,2024-01-01 00:40:10
229.14,349.58,232.15,140.31,23.39,194.66,180.77,Perfume,2024-01-01 00:40:12
546.65,294.9,135.68,240.04,109.43,322.25,227.91,Smoke,2024-01-01 00:40:14
215.06,85.59,141.98,187.05,5.33,311.07,122.42,No Gas,2024-01-01 00:40:16
604.65,559.98,209.7,246.14,61.0,721.67,321.8,Combined,2024-01-01 00:40:18
221.76,93.12,426.01,173.98,92.59,313.29,389.99,Smoke,2024-01-01 00:40:20
699.01,236.13,305.49,368.87,36.04,1007.5,196.44,Smoke,2024-01-01 00:40:22
227.99,182.12,155.3,87.53,12.84,173.19,48.69,No Gas,2024-01-01 00:40:24
280.98,187.91,291.18,186.81,12.87,239.26,192.18,Perfume,2024-01-01 00:40:26
151.22,216.06,82.64,90.45,21.02,157.99,511.5,Perfume,2024-01-01 00:40:28
232.6,158.25,155.47,97.39,11.93,220.31,107.52,No Gas,2024-01-01 00:40:30
249.36,115.3,231.64,139.97,24.44,116.35,92.95,No Gas,2024-01-01 00:40:32
201.04,145.42,222.27,115.19,19.43,219.38,412.76,Perfume,2024-01-01 00:40:34
234.14,374.02,250.19,201.71,17.82,114.62,175.32,Perfume,2024-01-01 00:40:36
203.61,91.71,93.86,194.62,16.19,283.98,107.92,No Gas,2024-01-01 00:40:38
704.9,205.08,258.99,313.28,27.53,388.9,101.98,Combined,2024-01-01 00:40:40
144.64,62.43,174.82,131.42,18.19,269.2,52.08,No Gas,2024-01-01 00:40:42
